<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20181123,229.0195,230.9201,226.6438,229.4947,14130
SAB,20181126,229.9738,229.9738,228.0574,228.1643,21380
SAB,20181127,226.2478,232.8598,226.2478,231.9016,31970
SAB,20181128,231.9016,239.5678,230.2725,239.5677,63680
SAB,20181129,241.4842,245.3173,239.0886,239.5677,114710
SAB,20181130,239.0886,240.5260,236.2138,239.5677,55080
SAB,20181203,244.3591,244.3591,237.6512,240.5260,19310
SAB,20181204,238.6095,241.4843,237.6512,237.6512,32320
SAB,20181205,239.3761,239.3761,235.2555,235.2555,24420
SAB,20181206,234.9680,237.3637,231.9016,236.6929,15460
SAB,20181207,235.7346,240.4302,233.9139,236.9804,30960
SAB,20181210,232.8598,238.5136,232.8598,237.6512,44570
SAB,20181211,236.1180,242.4426,236.1180,242.4425,28960
SAB,20181212,239.1844,244.3590,239.1844,242.4425,49700
SAB,20181213,242.7300,243.4008,239.7593,239.7594,30870
SAB,20181214,239.8552,242.2509,238.7053,239.9510,31370
SAB,20181217,237.6512,239.9510,237.5553,239.9510,59460
SAB,20181218,239.9510,239.9510,235.7346,239.9510,45170
SAB,20181219,239.5677,239.9510,235.3513,239.5677,102270
SAB,20181220,239.5677,239.5677,236.2138,236.6929,89640
SAB,20181221,234.7764,236.6929,233.1473,236.6929,67740
SAB,20181224,229.9850,238.5136,229.9850,236.5971,43500
SAB,20181225,232.0932,236.5971,232.0932,236.5971,40810
SAB,20181226,232.7640,238.6095,232.7640,238.6094,23360
SAB,20181227,239.4718,240.4301,236.6929,240.3343,35850
SAB,20181228,240.3343,256.3375,236.2137,256.3375,46420
SAB,20190102,256.3375,256.3375,238.4178,238.4178,46990
SAB,20190103,238.4178,244.3591,223.4688,235.2555,98800
SAB,20190104,235.7346,235.7346,225.2895,233.0515,8540
SAB,20190107,233.0515,237.6512,230.9433,233.8181,12270
SAB,20190108,233.0515,233.8181,229.1226,233.8181,11600
SAB,20190109,233.8181,237.6512,229.0267,233.8181,25150
SAB,20190110,230.5600,233.6264,229.3142,229.9850,28560
SAB,20190111,229.9850,230.4641,226.2477,229.9850,38820
SAB,20190114,232.3807,232.3807,227.9726,229.9850,45290
SAB,20190115,228.0685,229.8892,228.0685,229.6017,23500
SAB,20190116,228.3559,230.9433,228.0685,229.0267,30300
SAB,20190117,228.0684,230.7516,224.7145,224.7145,41400
SAB,20190118,224.7145,227.4935,224.6187,224.7145,14340
SAB,20190121,227.3018,227.3018,224.7145,224.7145,4770
